rank,player,team,position,top_speed_kmh,high_speed_running,sprints,total_distance_metres,source_url,retrieved_date
64,Bilal El Khannouss,MAR,MF,34.62,554,226,50933.34,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
65,Jesse Randall,NZL,FW,34.61,113,69,9324.27,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
66,Mousa Altamari,JOR,FW,34.59,243,120,23119.95,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
67,Alex Freeman,USA,DF,34.58,545,179,47281.6,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
68,Bazoumana Toure,CIV,FW,34.58,131,53,10594.52,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
69,Soufiane Rahimi,MAR,FW,34.58,317,137,25328.44,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
70,Odeh Fakhoury,JOR,FW,34.54,275,98,18713.27,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
71,Oguz Aydin,TUR,FW,34.51,103,55,10321.84,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
72,Nathan Ngoy,BEL,DF,34.49,353,112,37462.64,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
73,Moises Caicedo,ECU,MF,34.49,505,134,42353.4,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
74,Ismaila Sarr,SEN,FW,34.47,556,216,46719.89,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
75,Kim Minjae,KOR,DF,34.43,264,91,26815.14,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
76,Leroy Sane,GER,MF,34.42,477,221,38060.03,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
77,Josue Casimir,HAI,FW,34.42,246,113,20980.8,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
78,Thalente Mbatha,RSA,MF,34.37,446,145,31917.63,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
79,Wilfried Singo,CIV,DF,34.36,173,65,18230.23,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
80,Ngalayel Mukau,COD,MF,34.35,383,105,26619.43,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
81,Firas Chaouat,TUN,FW,34.35,83,35,6946.94,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
82,Emmanuel Agbadou,CIV,DF,34.35,250,72,28516.79,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
83,Denzel Dumfries,NED,DF,34.35,470,183,43452.06,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
84,Miles Robinson,USA,DF,34.33,134,43,11909.05,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
85,Antonio Nusa,NOR,FW,34.33,411,176,35679.45,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
86,Ruben Vargas,SUI,FW,34.31,373,170,31605.36,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
87,Noni Madueke,ENG,FW,34.31,335,147,30578.18,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
88,Meschack Elia,COD,FW,34.3,86,41,6530.78,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
89,Ben Gannon Doak,SCO,FW,34.3,200,96,20888.71,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
90,Khuliso Mudau,RSA,DF,34.28,399,189,39120.48,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
91,Jacob Shaffelburg,CAN,MF,34.25,202,106,15826.53,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
