rank,player,team,position,goals,assists,minutes_played,source_url,retrieved_date
1141,Thomas Partey,GHA,MF,0,0,307,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1130,Miguel Almiron,PAR,MF,0,0,306,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1131,Mohammed Alowais,KSA,GK,0,0,306,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1132,Max Crocombe,NZL,GK,0,0,306,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1133,Lewis Ferguson,SCO,MF,0,0,306,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1133,Angus Gunn,SCO,GK,0,0,306,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1133,Jack Hendry,SCO,DF,0,0,306,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1133,Scott Mctominay,SCO,MF,0,0,306,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1137,Ricardo Ade,HAI,DF,0,0,306,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1137,Hannes Delcroix,HAI,DF,0,0,306,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1137,Martin Experience,HAI,DF,0,0,306,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1137,Johny Placide,HAI,GK,0,0,306,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1123,Ghislain Konan,CIV,DF,0,0,303,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1124,Andres Andrade,PAN,DF,0,0,303,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1124,Jose Cordoba,PAN,DF,0,0,303,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1124,Orlando Mosquera,PAN,GK,0,0,303,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1124,Amir Murillo,PAN,DF,0,0,303,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
1128,Akam Hashim,IRQ,DF,0,0,303,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-09-10
