rank,player,team,position,goals,assists,minutes_played,source_url,retrieved_date
136,Amine Gouiri,ALG,FW,1,0,270,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
137,Daizen Maeda,JPN,MF,1,0,271,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
138,Mohammad Mohebbi,IRN,MF,1,0,271,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
139,Marcus Holmgren Pedersen,NOR,DF,1,0,273,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
140,John Mcginn,SCO,MF,1,0,277,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
141,Romano Schmid,AUT,MF,1,0,283,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
142,Nestory Irankunda,AUS,FW,1,0,285,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
143,Nizar Alrashdan,JOR,MF,1,0,289,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
144,Ali Olwan,JOR,FW,1,0,297,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
145,Deroy Duarte,CPV,MF,1,0,300,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
146,Ladislav Krejci,CZE,DF,1,0,301,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
147,Teboho Mokoena,RSA,MF,1,0,301,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
148,Eldor Shomurodov,UZB,FW,1,0,304,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
149,Jamal Musiala,GER,MF,1,0,305,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
150,Finn Surman,NZL,DF,1,0,306,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
151,Caleb Yirenkyi,GHA,MF,1,0,307,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
152,Kerim Alajbegovic,BIH,FW,1,0,312,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
153,Arda Guler,TUR,FW,1,0,313,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
154,Sidny Lopes Cabral,CPV,DF,1,0,324,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
155,Martin Baturina,CRO,MF,1,0,344,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
156,Connor Metcalfe,AUS,MF,1,0,354,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
157,Antonio Nusa,NOR,FW,1,0,357,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/statistics/player-statistics,2026-08-31
